"id","identity_code","ground_index","arrival_time"
"962","75909e89bletest0","1","2023/03/24 10:25:53"
"963","0926bde8bletest0","2","2023/03/24 10:25:55"
"964","dc32f1d2bletest0","10","2023/03/24 10:25:55"
"965","fedc20debletest0","9","2023/03/24 10:25:56"
"966","fedc20debletest0","8","2023/03/24 10:27:02"
"967","dc32f1d2bletest0","9","2023/03/24 10:27:05"
"968","fedc20debletest0","7","2023/03/24 10:28:02"
"969","75909e89bletest0","2","2023/03/24 10:28:04"
"970","0926bde8bletest0","3","2023/03/24 10:28:03"
"971","75909e89bletest0","1","2023/03/24 10:29:03"
"972","dc32f1d2bletest0","8","2023/03/24 10:29:05"
"973","75909e89bletest0","2","2023/03/24 10:30:03"
"974","fedc20debletest0","8","2023/03/24 10:30:03"
"975","0926bde8bletest0","4","2023/03/24 10:30:04"
"976","75909e89bletest0","3","2023/03/24 10:31:02"
"977","dc32f1d2bletest0","7","2023/03/24 10:31:06"
"978","75909e89bletest0","4","2023/03/24 10:32:05"
"979","0926bde8bletest0","5","2023/03/24 10:32:06"
"980","fedc20debletest0","7","2023/03/24 10:32:11"
"981","0926bde8bletest0","6","2023/03/24 10:33:02"
"982","dc32f1d2bletest0","6","2023/03/24 10:33:04"
"983","75909e89bletest0","5","2023/03/24 10:34:03"
"984","fedc20debletest0","6","2023/03/24 10:35:04"
"985","dc32f1d2bletest0","5","2023/03/24 10:35:04"
"986","0926bde8bletest0","7","2023/03/24 10:35:06"
"987","75909e89bletest0","6","2023/03/24 10:36:02"
"988","fedc20debletest0","5","2023/03/24 10:36:03"
"989","0926bde8bletest0","8","2023/03/24 10:36:05"
"990","75909e89bletest0","7","2023/03/24 10:37:02"
"991","fedc20debletest0","4","2023/03/24 10:37:02"
"992","0926bde8bletest0","9","2023/03/24 10:37:02"
"993","dc32f1d2bletest0","4","2023/03/24 10:37:08"
"994","75909e89bletest0","8","2023/03/24 10:38:02"
"995","fedc20debletest0","3","2023/03/24 10:38:02"
"996","75909e89bletest0","9","2023/03/24 10:39:03"
"997","0926bde8bletest0","10","2023/03/24 10:39:02"
"998","dc32f1d2bletest0","3","2023/03/24 10:39:03"
"999","fedc20debletest0","2","2023/03/24 10:39:05"
"1000","75909e89bletest0","10","2023/03/24 10:40:02"
"1001","fedc20debletest0","1","2023/03/24 10:40:03"
"1002","dc32f1d2bletest0","2","2023/03/24 10:40:03"
"1003","0926bde8bletest0","9","2023/03/24 10:40:52"
