id,identity_code,inter_time,inter_flag,inter_mobile_identity_code,major_minor,rssi,distance,place,upload_time
101400,0926bde8,2023/03/24 09:21:57,1,dc32f1d2bletest0,,-69.5,2,,1679620993000
101404,0926bde8,2023/03/24 09:21:58,1,dc32f1d2bletest0,,-65.5,2,,1679620993000
101755,0926bde8,2023/03/24 09:23:24,1,dc32f1d2bletest0,,-72.66666666666667,2,,1679621095000
101767,0926bde8,2023/03/24 09:23:25,1,dc32f1d2bletest0,,-66.0,2,,1679621095000
101775,0926bde8,2023/03/24 09:23:27,1,dc32f1d2bletest0,,-72.0,2,,1679621095000
101786,0926bde8,2023/03/24 09:23:28,1,dc32f1d2bletest0,,-78.0,3,,1679621095000
101794,0926bde8,2023/03/24 09:23:29,1,dc32f1d2bletest0,,-70.33333333333333,2,,1679621095000
101797,0926bde8,2023/03/24 09:23:30,1,dc32f1d2bletest0,,-70.0,2,,1679621095000
101805,0926bde8,2023/03/24 09:23:31,1,dc32f1d2bletest0,,-76.33333333333333,3,,1679621095000
101808,0926bde8,2023/03/24 09:23:32,1,dc32f1d2bletest0,,-80.0,3,,1679621095000
101816,0926bde8,2023/03/24 09:23:33,1,dc32f1d2bletest0,,-70.5,2,,1679621095000
101820,0926bde8,2023/03/24 09:23:34,1,dc32f1d2bletest0,,-66.0,2,,1679621095000
101749,0926bde8,2023/03/24 09:24:13,1,dc32f1d2bletest0,,-66.5,2,,1679621095000
101757,0926bde8,2023/03/24 09:24:14,1,dc32f1d2bletest0,,-69.5,2,,1679621095000
101765,0926bde8,2023/03/24 09:24:15,1,dc32f1d2bletest0,,-66.0,2,,1679621095000
101781,0926bde8,2023/03/24 09:24:17,1,dc32f1d2bletest0,,-70.0,2,,1679621095000
101785,0926bde8,2023/03/24 09:24:18,1,dc32f1d2bletest0,,-67.33333333333333,2,,1679621095000
101798,0926bde8,2023/03/24 09:24:19,1,dc32f1d2bletest0,,-68.0,2,,1679621095000
101802,0926bde8,2023/03/24 09:24:20,1,dc32f1d2bletest0,,-74.0,2,,1679621095000
102134,0926bde8,2023/03/24 09:25:09,1,dc32f1d2bletest0,,-79.5,3,,1679621180000
1,1,2
